日期,節氣,節氣時分
2025-01-01,-,-
2025-01-02,-,-
2025-01-03,-,-
2025-01-04,-,-
2025-01-05,小寒,10:33
2025-01-06,小寒,-
2025-01-07,小寒,-
2025-01-08,小寒,-
2025-01-09,小寒,-
2025-01-10,小寒,-
2025-01-11,小寒,-
2025-01-12,小寒,-
2025-01-13,小寒,-
2025-01-14,小寒,-
2025-01-15,小寒,-
2025-01-16,小寒,-
2025-01-17,小寒,-
2025-01-18,小寒,-
2025-01-19,小寒,-
2025-01-20,大寒,4:00
2025-01-21,大寒,-
2025-01-22,大寒,-
2025-01-23,大寒,-
2025-01-24,大寒,-
2025-01-25,大寒,-
2025-01-26,大寒,-
2025-01-27,大寒,-
2025-01-28,大寒,-
2025-01-29,大寒,-
2025-01-30,大寒,-
2025-01-31,大寒,-
2025-02-01,大寒,-
2025-02-02,大寒,-
2025-02-03,立春,22:10
2025-02-04,立春,-
2025-02-05,立春,-
2025-02-06,立春,-
2025-02-07,立春,-
2025-02-08,立春,-
2025-02-09,立春,-
2025-02-10,立春,-
2025-02-11,立春,-
2025-02-12,立春,-
2025-02-13,立春,-
2025-02-14,立春,-
2025-02-15,立春,-
2025-02-16,立春,-
2025-02-17,立春,-
2025-02-18,雨水,18:07
2025-02-19,雨水,-
2025-02-20,雨水,-
2025-02-21,雨水,-
2025-02-22,雨水,-
2025-02-23,雨水,-
2025-02-24,雨水,-
2025-02-25,雨水,-
2025-02-26,雨水,-
2025-02-27,雨水,-
2025-02-28,雨水,-
2025-03-01,雨水,-
2025-03-02,雨水,-
2025-03-03,雨水,-
2025-03-04,雨水,-
2025-03-05,驚蟄,16:07
2025-03-06,驚蟄,-
2025-03-07,驚蟄,-
2025-03-08,驚蟄,-
2025-03-09,驚蟄,-
2025-03-10,驚蟄,-
2025-03-11,驚蟄,-
2025-03-12,驚蟄,-
2025-03-13,驚蟄,-
2025-03-14,驚蟄,-
2025-03-15,驚蟄,-
2025-03-16,驚蟄,-
2025-03-17,驚蟄,-
2025-03-18,驚蟄,-
2025-03-19,驚蟄,-
2025-03-20,春分,17:01
2025-03-21,春分,-
2025-03-22,春分,-
2025-03-23,春分,-
2025-03-24,春分,-
2025-03-25,春分,-
2025-03-26,春分,-
2025-03-27,春分,-
2025-03-28,春分,-
2025-03-29,春分,-
2025-03-30,春分,-
2025-03-31,春分,-
2025-04-01,春分,-
2025-04-02,春分,-
2025-04-03,春分,-
2025-04-04,清明,20:49
2025-04-05,清明,-
2025-04-06,清明,-
2025-04-07,清明,-
2025-04-08,清明,-
2025-04-09,清明,-
2025-04-10,清明,-
2025-04-11,清明,-
2025-04-12,清明,-
2025-04-13,清明,-
2025-04-14,清明,-
2025-04-15,清明,-
2025-04-16,清明,-
2025-04-17,清明,-
2025-04-18,清明,-
2025-04-19,清明,-
2025-04-20,穀雨,3:56
2025-04-21,穀雨,-
2025-04-22,穀雨,-
2025-04-23,穀雨,-
2025-04-24,穀雨,-
2025-04-25,穀雨,-
2025-04-26,穀雨,-
2025-04-27,穀雨,-
2025-04-28,穀雨,-
2025-04-29,穀雨,-
2025-04-30,穀雨,-
2025-05-01,穀雨,-
2025-05-02,穀雨,-
2025-05-03,穀雨,-
2025-05-04,穀雨,-
2025-05-05,立夏,13:57
2025-05-06,立夏,-
2025-05-07,立夏,-
2025-05-08,立夏,-
2025-05-09,立夏,-
2025-05-10,立夏,-
2025-05-11,立夏,-
2025-05-12,立夏,-
2025-05-13,立夏,-
2025-05-14,立夏,-
2025-05-15,立夏,-
2025-05-16,立夏,-
2025-05-17,立夏,-
2025-05-18,立夏,-
2025-05-19,立夏,-
2025-05-20,立夏,-
2025-05-21,小滿,2:55
2025-05-22,小滿,-
2025-05-23,小滿,-
2025-05-24,小滿,-
2025-05-25,小滿,-
2025-05-26,小滿,-
2025-05-27,小滿,-
2025-05-28,小滿,-
2025-05-29,小滿,-
2025-05-30,小滿,-
2025-05-31,小滿,-
2025-06-01,小滿,-
2025-06-02,小滿,-
2025-06-03,小滿,-
2025-06-04,小滿,-
2025-06-05,芒種,17:56
2025-06-06,芒種,-
2025-06-07,芒種,-
2025-06-08,芒種,-
2025-06-09,芒種,-
2025-06-10,芒種,-
2025-06-11,芒種,-
2025-06-12,芒種,-
2025-06-13,芒種,-
2025-06-14,芒種,-
2025-06-15,芒種,-
2025-06-16,芒種,-
2025-06-17,芒種,-
2025-06-18,芒種,-
2025-06-19,芒種,-
2025-06-20,芒種,-
2025-06-21,夏至,10:42
2025-06-22,夏至,-
2025-06-23,夏至,-
2025-06-24,夏至,-
2025-06-25,夏至,-
2025-06-26,夏至,-
2025-06-27,夏至,-
2025-06-28,夏至,-
2025-06-29,夏至,-
2025-06-30,夏至,-
2025-07-01,夏至,-
2025-07-02,夏至,-
2025-07-03,夏至,-
2025-07-04,夏至,-
2025-07-05,夏至,-
2025-07-06,夏至,-
2025-07-07,小暑,4:05
2025-07-08,小暑,-
2025-07-09,小暑,-
2025-07-10,小暑,-
2025-07-11,小暑,-
2025-07-12,小暑,-
2025-07-13,小暑,-
2025-07-14,小暑,-
2025-07-15,小暑,-
2025-07-16,小暑,-
2025-07-17,小暑,-
2025-07-18,小暑,-
2025-07-19,小暑,-
2025-07-20,小暑,-
2025-07-21,小暑,-
2025-07-22,大暑,21:29
2025-07-23,大暑,-
2025-07-24,大暑,-
2025-07-25,大暑,-
2025-07-26,大暑,-
2025-07-27,大暑,-
2025-07-28,大暑,-
2025-07-29,大暑,-
2025-07-30,大暑,-
2025-07-31,大暑,-
2025-08-01,大暑,-
2025-08-02,大暑,-
2025-08-03,大暑,-
2025-08-04,大暑,-
2025-08-05,大暑,-
2025-08-06,大暑,-
2025-08-07,立秋,13:52
2025-08-08,立秋,-
2025-08-09,立秋,-
2025-08-10,立秋,-
2025-08-11,立秋,-
2025-08-12,立秋,-
2025-08-13,立秋,-
2025-08-14,立秋,-
2025-08-15,立秋,-
2025-08-16,立秋,-
2025-08-17,立秋,-
2025-08-18,立秋,-
2025-08-19,立秋,-
2025-08-20,立秋,-
2025-08-21,立秋,-
2025-08-22,立秋,-
2025-08-23,處暑,4:34
2025-08-24,處暑,-
2025-08-25,處暑,-
2025-08-26,處暑,-
2025-08-27,處暑,-
2025-08-28,處暑,-
2025-08-29,處暑,-
2025-08-30,處暑,-
2025-08-31,處暑,-
2025-09-01,處暑,-
2025-09-02,處暑,-
2025-09-03,處暑,-
2025-09-04,處暑,-
2025-09-05,處暑,-
2025-09-06,處暑,-
2025-09-07,白露,16:52
2025-09-08,白露,-
